Symbol,Company Name,Sector,Sub Industry,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota",74036436992,135.32,71.36288,103.34144,133.84
AOS,A. O. Smith,Building Products,"Milwaukee, Wisconsin",12293331968,92.45,64.14,78.295,84.29
ABT,Abbott Laboratories,Health Care Equipment,"North Chicago, Illinois",198608879616,121.64,89.67,105.655,114.15
ABBV,AbbVie,Biotechnology,"North Chicago, Illinois",341998862336,199.95,135.85,167.89999999999998,193.62
ACN,Accenture,IT Consulting & Other Services,"Dublin, Ireland",210602835968,387.51,278.69,333.1,335.24
ADBE,Adobe Inc.,Application Software,"San Jose, California",233508306944,638.25,433.97,536.11,526.44
AMD,Advanced Micro Devices,Semiconductors,"Santa Clara, California",253705699328,227.3,93.12,160.21,156.74
AES,AES Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia",13436464128,22.21,11.43,16.82,18.9
AFL,Aflac,Life & Health Insurance,"Columbus, Georgia",60438003712,111.14,74.89,93.015,107.87
A,Agilent Technologies,Life Sciences Tools & Services,"Santa Clara, California",40786223104,155.35,96.8,126.07499999999999,141.95
APD,Air Products,Industrial Gases,"Upper Macungie Township, Pennsylvania",64021987328,296.0,212.24,254.12,287.72
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines","San Francisco, California",81430896640,170.1,110.38,140.24,128.75
AKAM,Akamai Technologies,Internet Services & Infrastructure,"Cambridge, Massachusetts",15079109632,129.17,87.59,108.38,99.44
ALB,Albemarle Corporation,Specialty Chemicals,"Charlotte, North Carolina",10499272704,177.52,71.97,124.745,89.33
ARE,Alexandria Real Estate Equities,Office REITs,"Pasadena, California",21379405824,135.45,90.73,113.09,122.22
ALGN,Align Technology,Health Care Supplies,"Tempe, Arizona",19223300096,335.4,176.34,255.87,257.17
ALLE,Allegion,Building Products,"Dublin, Ireland",12524661760,146.41,95.94,121.175,143.27
LNT,Alliant Energy,Electric Utilities,"Madison, Wisconsin",15325824000,60.67,45.15,52.91,59.75
ALL,Allstate,Property & Casualty Insurance,"Northbrook, Illinois",50431827968,193.16,109.01,151.085,190.68
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,"Mountain View, California",2002701385728,191.75,120.21,155.98,162.14
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,"Mountain View, California",2002088361984,193.31,121.46,157.385,163.24
MO,Altria,Tobacco,"Richmond, Virginia",85976424448,54.95,39.07,47.010000000000005,50.23
AMZN,Amazon,Broadline Retail,"Seattle, Washington",2010956955648,201.2,118.35,159.77499999999998,189.87
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",15754206208,11.45,8.45,9.95,11.11
AEE,Ameren,Multi-Utilities,"St. Louis, Missouri",22844870656,85.84,67.03,76.435,83.62
AAL,American Airlines Group,Passenger Airlines,"Fort Worth, Texas",7305938944,16.15,9.07,12.61,11.11
AEP,American Electric Power,Electric Utilities,"Columbus, Ohio",54356058112,105.18,69.38,87.28,101.74
AXP,American Express,Consumer Finance,"New York City, New York",191228215296,271.49,140.91,206.2,268.75
AIG,American International Group,Multi-line Insurance,"New York City, New York",47581544448,80.83,57.72,69.275,73.89
AMT,American Tower,Telecom Tower REITs,"Boston, Massachusetts",109792288768,243.56,154.58,199.07,232.31
AWK,American Water Works,Water Utilities,"Camden, New Jersey",29050245120,150.68,113.34,132.01,149.08
AMP,Ameriprise Financial,Asset Management & Custody Banks,"Minneapolis, Minnesota",45534015488,465.82,306.63,386.225,463.74
AME,Ametek,Electrical Components & Equipment,"Berwyn, Pennsylvania",39882043392,186.33,136.89,161.61,172.25
AMGN,Amgen,Biotechnology,"Thousand Oaks, California",181284061184,346.85,249.7,298.275,335.95
APH,Amphenol,Electronic Components,"Wallingford, Connecticut",79374761984,70.84,39.34,55.09,65.29
ADI,Analog Devices,Semiconductors,"Wilmington, Massachusetts",115936288768,244.14,154.99,199.565,233.45
ANSS,Ansys,Application Software,"Canonsburg, Pennsylvania",28170727424,364.31,258.01,311.15999999999997,322.29
AON,Aon,Insurance Brokers,"London, UK",75389493248,353.54,268.06,310.8,346.97
APA,APA Corporation,Oil & Gas Exploration & Production,"Houston, Texas",9384527872,43.58,22.72,33.15,25.36
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals","Cupertino, California",3480232394752,237.23,164.08,200.655,228.87
AMAT,Applied Materials,Semiconductor Materials & Equipment,"Santa Clara, California",162219180032,255.89,129.21,192.55,196.71
APTV,Aptiv,Automotive Parts & Equipment,"Dublin, Ireland",16569399296,100.88,63.62,82.25,70.52
ACGL,Arch Capital Group,Property & Casualty Insurance,"Hamilton, Bermuda",42584805376,114.69,72.85,93.77,111.42
ADM,Archer Daniels Midland,Agricultural Products & Services,"Chicago, Illinois",29859985408,77.35,50.72,64.035,62.45
ANET,Arista Networks,Communications Equipment,"Santa Clara, California",120779259904,385.5,168.25,276.875,379.32
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,"Rolling Meadows, Illinois",61829984256,301.04,218.63,259.83500000000004,282.2
AIZ,Assurant,Multi-line Insurance,"Atlanta, Georgia",10061884416,199.5,141.83,170.66500000000002,194.02
T,AT&T,Integrated Telecommunication Services,"Dallas, Texas",154446970880,22.34,14.12,18.23,21.36
ATO,Atmos Energy,Gas Utilities,"Dallas, Texas",21198616576,138.78,101.0,119.89,136.25
ADSK,Autodesk,Application Software,"San Francisco, California",58126757888,279.53,192.01,235.76999999999998,269.76
ADP,Automatic Data Processing,Human Resource & Employment Services,"Roseland, New Jersey",113249329152,281.54,205.53,243.53500000000003,277.69
AZO,AutoZone,Automotive Retail,"Memphis, Tennessee",51933298688,3256.37,2375.35,2815.8599999999997,3040.09
AVB,AvalonBay Communities,Multi-Family Residential REITs,"Arlington, Virginia",32788150272,236.26,160.45,198.355,230.55
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",17373595648,233.48,165.21,199.345,215.77
AXON,Axon Enterprise,Aerospace & Defense,"Scottsdale, Arizona",29722617856,393.58,189.12,291.35,389.74
BKR,Baker Hughes,Oil & Gas Equipment & Services,"Houston, Texas",36370485248,39.05,28.32,33.685,36.36
BALL,Ball Corporation,"Metal, Glass & Plastic Containers","Broomfield, Colorado",20372287488,71.32,42.81,57.065,67.11
BAC,Bank of America,Diversified Banks,"Charlotte, North Carolina",317133881344,44.44,24.96,34.7,40.87
BK,BNY Mellon,Asset Management & Custody Banks,"New York City, New York",53000142848,71.96,39.66,55.809999999999995,71.72
BBWI,"Bath & Body Works, Inc.",Other Specialty Retail,"Columbus, Ohio",6555821056,52.99,26.21,39.6,29.92
BAX,Baxter International,Health Care Equipment,"Deerfield, Illinois",19774470144,44.01,31.01,37.51,38.76
BDX,Becton Dickinson,Health Care Equipment,"Franklin Lakes, New Jersey",67817971712,269.52,218.75,244.135,234.63
BRK.B,Berkshire Hathaway,Multi-Sector Holdings,"Omaha, Nebraska",N/A,N/A,N/A,N/A,N/A
BBY,Best Buy,Computer & Electronics Retail,"Richfield, Minnesota",21141829632,103.71,62.3,83.005,98.46
BIO,Bio-Rad Laboratories,Life Sciences Tools & Services,"Hercules, California",9513561088,366.3,261.59,313.945,344.6
TECH,Bio-Techne,Life Sciences Tools & Services,"Minneapolis, Minnesota",12748649472,85.57,51.79,68.67999999999999,80.36
BIIB,Biogen,Biotechnology,"Cambridge, Massachusetts",29342003200,269.43,189.44,229.435,201.44
BLK,BlackRock,Asset Management & Custody Banks,"New York City, New York",138480730112,942.73,596.18,769.4549999999999,934.87
BX,Blackstone Inc.,Asset Management & Custody Banks,"New York City, New York",195009380352,161.25,88.59,124.92,159.66
BA,Boeing,Aerospace & Defense,"Arlington, Virginia",95261917184,267.54,152.6,210.07,154.59
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",136243494912,4144.32,2733.04,3438.68,4017.51
BWA,BorgWarner,Automotive Parts & Equipment,"Auburn Hills, Michigan",7769207808,41.5,29.51,35.505,34.11
BSX,Boston Scientific,Health Care Equipment,"Marlborough, Massachusetts",123583111168,84.89,48.35,66.62,83.71
BMY,Bristol Myers Squibb,Pharmaceuticals,"New York City, New York",100173832192,59.28,39.35,49.315,49.02
AVGO,Broadcom,Semiconductors,"Palo Alto, California",799136284672,185.162,80.438,132.8,167.42
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,"Lake Success, New York",24390891520,223.81,166.73,195.26999999999998,208.99
BRO,Brown & Brown,Insurance Brokers,"Daytona Beach, Florida",28939769856,106.02,66.73,86.375,101.45
BF.B,Brown–Forman,Distillers & Vintners,"Louisville, Kentucky",N/A,N/A,N/A,N/A,N/A
BLDR,Builders FirstSource,Building Products,"Irving, Texas",23503970304,214.7,105.24,159.97,201.83
BG,Bunge Global,Agricultural Products & Services,"Chesterfield, Missouri",14216134656,114.92,86.1,100.50999999999999,100.36
BXP,"BXP, Inc.",Office REITs,"Boston, Massachusetts",14574605312,83.85,50.64,67.245,82.31
CHRW,C.H. Robinson,Air Freight & Logistics,"Eden Prairie, Minnesota",12220888064,105.41,65.0,85.205,103.64
CDNS,Cadence Design Systems,Application Software,"San Jose, California",76773801984,328.99,227.05,278.02,280.35
CZR,Caesars Entertainment,Casinos & Gaming,"Reno, Nevada",8995313664,50.506,31.74,41.123,41.58
CPT,Camden Property Trust,Multi-Family Residential REITs,"Houston, Texas",13506402304,127.38,82.81,105.095,126.66
CPB,Campbell Soup Company,Packaged Foods & Meats,"Camden, New Jersey",15266007040,52.81,37.94,45.375,50.84
COF,Capital One,Consumer Finance,"Tysons Corner, Virginia",58443083776,153.36,88.23,120.79500000000002,153.05
CAH,Cardinal Health,Health Care Distributors,"Dublin, Ohio",27061028864,116.05,85.82,100.935,110.76
KMX,CarMax,Automotive Retail,"Richmond, Virginia",12078971904,88.22,59.66,73.94,77.39
CCL,Carnival,"Hotels, Resorts & Cruise Lines","Miami, Florida",24578021376,19.74,10.84,15.29,18.76
CARR,Carrier Global,Building Products,"Palm Beach Gardens, Florida",72147935232,81.24,45.68,63.459999999999994,80.57
CTLT,Catalent,Pharmaceuticals,"Somerset, New Jersey",10907759616,61.2,31.8,46.5,60.11
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",181017231360,382.01,223.76,302.885,373.31
CBOE,Cboe Global Markets,Financial Exchanges & Data,"Chicago, Illinois",21785845760,216.14,154.22,185.18,206.94
CBRE,CBRE Group,Real Estate Services,"Dallas, Texas",37534756864,122.59,64.63,93.61,122.49
CDW,CDW,Technology Distributors,"Vernon Hills, Illinois",30437806080,263.37,185.04,224.20499999999998,227.87
CE,Celanese,Specialty Chemicals,"Irving, Texas",14214196224,172.16,110.76,141.46,130.09
COR,Cencora,Health Care Distributors,"Conshohocken, Pennsylvania",44711383040,247.66,178.21,212.935,226.56
CNC,Centene Corporation,Managed Health Care,"St. Louis, Missouri",39783636992,81.42,63.45,72.435,75.63
CNP,CenterPoint Energy,Multi-Utilities,"Houston, Texas",18417631232,31.57,25.41,28.490000000000002,28.26
CF,CF Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",14997633024,87.9,69.13,78.515,83.13
CRL,Charles River Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts",10822824960,275.0,161.65,218.325,209.62
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,"Westlake, Texas",118467715072,79.49,48.66,64.07499999999999,64.76
CHTR,Charter Communications,Cable & Satellite,"Stamford, Connecticut",47294447616,458.3,236.08,347.19,331.34
CVX,Chevron Corporation,Integrated Oil & Gas,"San Ramon, California",264372764672,171.7,135.37,153.535,144.99
CMG,Chipotle Mexican Grill,Restaurants,"Newport Beach, California",79388311552,69.2614,35.3728,52.317099999999996,57.97
CB,Chubb Limited,Property & Casualty Insurance,"Zurich, Switzerland",117407465472,294.18,204.15,249.16500000000002,290.58
CHD,Church & Dwight,Household Products,"Ewing, New Jersey",25313871872,110.31,82.25,96.28,101.58
CI,Cigna,Health Care Services,"Bloomfield, Connecticut",99871629312,370.83,253.95,312.39,357.26
CINF,Cincinnati Financial,Property & Casualty Insurance,"Fairfield, Ohio",21212708864,139.34,96.86,118.1,135.77
CTAS,Cintas,Diversified Support Services,"Mason, Ohio",82329149440,209.12,118.685,163.9025,203.74
CSCO,Cisco,Communications Equipment,"San Jose, California",207398240256,54.59,44.5,49.545,51.44
C,Citigroup,Diversified Banks,"New York City, New York",120229093376,67.81,38.17,52.99,63.02
CFG,Citizens Financial Group,Regional Banks,"Providence, Rhode Island",18922762240,43.96,22.77,33.365,42.21
CLX,Clorox,Household Products,"Oakland, California",20230381568,169.09,114.69,141.89,162.04
CME,CME Group,Financial Exchanges & Data,"Chicago, Illinois",77327204352,223.8,190.7,207.25,214.76
CMS,CMS Energy,Multi-Utilities,"Jackson, Michigan",20863232000,70.74,49.87,60.30499999999999,69.23
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",308759101440,73.53,51.55,62.54,70.62
CTSH,Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey",37491568640,80.27,62.14,71.205,75.2
CL,Colgate-Palmolive,Household Products,"New York City, New York",84208984064,109.3,67.62,88.46000000000001,102.01
CMCSA,Comcast,Cable & Satellite,"Philadelphia, Pennsylvania",155945680896,47.11,36.43,41.769999999999996,40.27
CAG,Conagra Brands,Packaged Foods & Meats,"Chicago, Illinois",15516434432,33.24,25.16,29.200000000000003,32.39
COP,ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas",128376512512,135.18,101.3,118.24000000000001,110.55
ED,Consolidated Edison,Multi-Utilities,"New York City, New York",35774291968,105.99,80.46,93.225,102.12
STZ,Constellation Brands,Distillers & Vintners,"Rochester, New York",45212913664,274.87,227.5,251.185,248.45
CEG,Constellation Energy,Electric Utilities,"Baltimore, Maryland",79729434624,255.24,102.405,178.8225,208.5
COO,Cooper Companies (The),Health Care Supplies,"San Ramon, California",22128162816,112.38,75.935,94.1575,111.1
CPRT,Copart,Diversified Support Services,"Dallas, Texas",49847005184,58.58,42.41,50.495,51.8
GLW,Corning Inc.,Electronic Components,"Corning, New York",38078693376,46.39,25.26,35.825,44.43
CPAY,Corpay,Transaction & Payment Processing Services,"Atlanta, Georgia",21717227520,319.94,220.39,270.16499999999996,312.78
CTVA,Corteva,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",40565686272,58.92,43.22,51.07,58.6
CSGP,CoStar Group,Real Estate Services,"Washington, D.C.",32498573312,100.38,67.35,83.865,79.29
COST,Costco,Consumer Staples Merchandise Retail,"Issaquah, Washington",402095964160,923.83,540.23,732.03,900.74
CTRA,Coterra,Oil & Gas Exploration & Production,"Houston, Texas",17491222528,29.89,22.3,26.095,23.57
CRWD,CrowdStrike,Systems Software,"Austin, Texas",69780193280,398.327,157.59,277.9585,277.38
CCI,Crown Castle,Telecom Tower REITs,"Houston, Texas",50118615040,120.92,84.72,102.82,115.17
CSX,CSX Corporation,Rail Transportation,"Jacksonville, Florida",67720187904,40.12,29.03,34.575,34.8
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",42366971904,322.83,212.8,267.815,309.14
CVS,CVS Health,Health Care Services,"Woonsocket, Rhode Island",73466142720,83.25,52.77,68.01,58.4
DHR,Danaher Corporation,Life Sciences Tools & Services,"Washington, D.C.",199641219072,281.7,182.09,231.89499999999998,276.43
DRI,Darden Restaurants,Restaurants,"Orlando, Florida",20407808000,176.84,133.36,155.10000000000002,172.27
DVA,DaVita,Health Care Services,"Denver, Colorado",13759599616,166.04,71.51,118.775,163.14
DAY,Dayforce,Human Resource & Employment Services,"Minneapolis, Minnesota",9429075968,75.33,47.08,61.205,59.64
DECK,Deckers Brands,Footwear,"Goleta, California",23191166976,184.48167,80.67,132.575835,152.11
DE,Deere & Company,Agricultural & Farm Machinery,"Moline, Illinois",112101949440,417.47,340.2,378.83500000000004,409.73
DAL,Delta Air Lines,Passenger Airlines,"Atlanta, Georgia",30418620416,53.86,30.6,42.230000000000004,47.13
DVN,Devon Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",25655402496,55.09,39.02,47.05500000000001,40.97
DXCM,Dexcom,Health Care Equipment,"San Diego, California",28810166272,142.0,62.34,102.17,71.92
FANG,Diamondback Energy,Oil & Gas Exploration & Production,"Midland, Texas",53724786688,214.5,143.08,178.79000000000002,181.63
DLR,Digital Realty,Data Center REITs,"Austin, Texas",53052297216,162.58,113.94,138.26,158.9
DFS,Discover Financial,Consumer Finance,"Riverwoods, Illinois",36134182912,147.61,79.04,113.32500000000002,143.92
DG,Dollar General,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",19022659584,168.07,77.96,123.01499999999999,86.5
DLTR,Dollar Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",15882600448,151.22,60.82,106.02,73.88
D,Dominion Energy,Multi-Utilities,"Richmond, Virginia",48599678976,58.94,39.18,49.06,57.48
DPZ,Domino's,Restaurants,"Ann Arbor, Michigan",14493593600,542.75,330.05,436.4,411.71
DOV,Dover Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",26279170048,192.31,127.25,159.78,191.18
DOW,Dow Inc.,Commodity Chemicals,"Midland, Michigan",37071724544,60.69,47.26,53.974999999999994,52.89
DHI,DR Horton,Homebuilding,"Arlington, Texas",64209846272,199.85,100.08,149.965,197.06
DTE,DTE Energy,Multi-Utilities,"Detroit, Michigan",25896130560,127.59,90.14,108.86500000000001,123.53
DUK,Duke Energy,Electric Utilities,"Charlotte, North Carolina",89861144576,118.31,83.06,100.685,115.14
DD,DuPont,Specialty Chemicals,"Wilmington, Delaware",34794033152,85.12,61.14,73.13,83.18
EMN,Eastman Chemical Company,Specialty Chemicals,"Kingsport, Tennessee",12651329536,108.81,68.89,88.85,108.26
ETN,Eaton Corporation,Electrical Components & Equipment,"Dublin, Ireland",131611860992,345.19,191.82,268.505,328.92
EBAY,eBay,Broadline Retail,"San Jose, California",30894931968,64.96,37.17,51.065,63.22
ECL,Ecolab,Specialty Chemicals,"Saint Paul, Minnesota",71544233984,253.58,156.72,205.15,251.21
EIX,Edison International,Electric Utilities,"Rosemead, California",32991100928,88.77,58.82,73.795,84.19
EW,Edwards Lifesciences,Health Care Equipment,"Irvine, California",40258392064,96.12,58.93,77.525,67.26
