Symbol,Stock Price,Predicted Short Position for Next Month,Difference
BLK,885.12,859.32,25.8
PPL,31.96,31.07,0.89
CSCO,49.61,45.91,3.7
UAL,49.65,41.17,8.48
TROW,104.87,102.49,2.38
ISRG,494.01,471.88,22.13
NVR,9179.38,8653.24,526.14
TPR,42.04,38.37,3.67
DVN,40.01,40.48,-0.47
CE,119.88,120.44,-0.56
MRO,25.98,26.19,-0.21
BA,162.77,159.86,2.91
VRTX,478.65,470.42,8.23
GILD,83.16,74.35,8.81
EQIX,868.81,818.8,50.01
TER,128.19,122.92,5.27
PODD,230.45,185.7,44.75
MDT,90.0,82.71,7.29
V,285.37,262.96,22.41
QRVO,105.61,105.5,0.11
A,136.39,136.73,-0.34
FOX,36.04,36.28,-0.24
MO,52.64,51.13,1.51
CTRA,22.78,22.81,-0.03
SWKS,100.44,99.88,0.56
ENPH,105.83,105.09,0.74
MCHP,76.08,74.96,1.12
CDNS,269.9,251.22,18.68
MSCI,559.75,550.3,9.45
CHTR,339.03,327.11,11.92
EIX,84.63,83.39,1.24
KDP,37.05,35.36,1.69
BBY,97.75,84.85,12.9
GEN,26.25,25.04,1.21
WBA,8.84,8.87,-0.03
LVS,39.41,38.91,0.5
HCA,391.67,371.75,19.92
AJG,296.6,282.98,13.62
DTE,124.49,121.8,2.69
C,57.33,57.88,-0.55
T,21.59,19.35,2.24
CF,77.7,77.36,0.34
MGM,35.9,35.37,0.53
HUM,324.5,329.21,-4.71
CBOE,209.72,202.2,7.52
CFG,39.71,40.0,-0.29
APH,63.45,60.62,2.83
SYY,76.97,75.73,1.24
MSI,439.8,415.0,24.8
FCX,41.81,40.52,1.29
ADM,59.62,58.68,0.94
LH,220.06,219.51,0.55
SOLV,68.65,58.94,9.71
BLDR,175.72,162.93,12.79
LNT,58.91,56.57,2.34
BAC,38.78,38.69,0.09
PSX,125.72,126.53,-0.81
GPN,109.35,104.48,4.87
HUBB,399.18,372.88,26.3
PPG,125.49,120.32,5.17
TECH,73.2,71.42,1.78
IRM,116.36,108.75,7.61
IQV,238.4,236.91,1.49
ESS,310.22,286.63,23.59
WBD,7.66,7.07,0.59
HAL,28.02,28.28,-0.26
STZ,251.71,239.37,12.34
BG,96.43,95.78,0.65
PARA,10.26,10.12,0.14
ADI,221.53,215.77,5.76
F,10.62,10.25,0.37
ADBE,586.55,539.84,46.71
STLD,110.54,109.56,0.98
SMCI,442.13,410.06,32.07
CPRT,49.47,49.79,-0.32
TDG,1348.03,1256.65,91.38
TFX,242.73,233.55,9.18
ULTA,373.08,334.19,38.89
ARE,121.91,114.1,7.81
SYK,367.79,332.84,34.95
KVUE,23.08,21.38,1.7
CB,288.56,270.3,18.26
TSN,61.68,61.64,0.04
GNRC,140.68,141.42,-0.74
PEP,177.25,172.79,4.46
PEG,83.31,80.2,3.11
NOW,886.13,821.16,64.97
LLY,935.02,907.1,27.92
COST,915.03,867.97,47.06
REG,74.36,70.32,4.04
NWS,27.17,27.29,-0.12
LOW,252.05,237.73,14.32
MDLZ,74.38,70.68,3.7
BKNG,3870.7,3616.31,254.39
ZBRA,337.04,324.11,12.93
FMC,62.0,60.79,1.21
XEL,63.89,59.39,4.5
AIZ,191.31,185.37,5.94
MET,75.47,71.15,4.32
FTV,73.4,69.3,4.1
DLR,160.49,149.52,10.97
ACGL,110.26,99.36,10.9
FAST,69.82,65.66,4.16
TJX,118.22,110.19,8.03
SNA,277.86,272.14,5.72
MPC,161.49,161.15,0.34
BR,210.53,208.24,2.29
D,57.18,55.35,1.83
MRK,115.25,113.83,1.42
STX,100.62,97.58,3.04
NOC,518.54,504.53,14.01
BXP,78.61,69.54,9.07
KHC,35.2,34.38,0.82
IPG,30.54,30.74,-0.2
ABNB,117.36,114.77,2.59
UNP,248.89,239.12,9.77
ALLE,139.12,131.08,8.04
ABBV,194.02,192.06,1.96
ORCL,161.38,136.78,24.6
ECL,250.69,240.83,9.86
ETR,123.55,117.49,6.06
EBAY,63.18,56.31,6.87
SBUX,99.28,91.96,7.32
IR,89.86,87.38,2.48
AMT,237.14,220.53,16.61
INTU,646.37,620.61,25.76
DPZ,405.84,407.05,-1.21
PAYC,167.55,156.27,11.28
PG,173.47,168.28,5.19
CAT,339.58,332.03,7.55
ODFL,191.26,186.65,4.61
MCD,292.35,272.08,20.27
MNST,49.91,46.69,3.22
AMZN,187.0,171.8,15.2
GEHC,87.46,83.87,3.59
EG,379.05,365.94,13.11
INTC,19.36,19.21,0.15
PNR,90.8,83.9,6.9
GLW,41.86,39.88,1.98
BDX,235.5,233.64,1.86
KMI,20.94,20.9,0.04
CSGP,77.97,73.81,4.16
PWR,268.5,250.66,17.84
APTV,67.0,66.09,0.91
BBWI,27.26,27.63,-0.37
DXCM,68.82,69.39,-0.57
EXR,177.28,167.17,10.11
WELL,128.83,117.03,11.8
HOLX,80.42,79.96,0.46
EXPD,121.06,119.88,1.18
GM,46.12,44.0,2.12
TXN,195.98,197.49,-1.51
VRSK,269.37,266.51,2.86
FI,173.63,163.69,9.94
SJM,117.98,114.62,3.36
TMO,614.16,604.33,9.83
OXY,50.99,51.38,-0.39
RL,175.36,160.25,15.11
DECK,919.13,871.6,47.53
CCI,119.07,110.27,8.8
MMM,132.03,126.33,5.7
MOS,25.18,24.98,0.2
FTNT,74.49,72.07,2.42
HSY,198.46,192.35,6.11
JNPR,38.55,38.41,0.14
DHI,188.81,175.97,12.84
ED,103.39,99.78,3.61
ES,67.5,65.2,2.3
ADSK,259.47,246.07,13.4
GL,102.28,94.42,7.86
INVH,36.28,35.34,0.94
IP,47.94,45.61,2.33
EXPE,132.22,130.24,1.98
KO,71.23,68.91,2.32
PCAR,95.07,92.98,2.09
RVTY,120.15,116.12,4.03
WDC,63.25,61.25,2.0
PYPL,70.36,65.97,4.39
NEE,83.46,77.98,5.48
UPS,128.42,126.76,1.66
ELV,545.85,534.71,11.14
EMR,101.47,98.88,2.59
MSFT,427.0,404.25,22.75
ANSS,319.13,307.64,11.49
CTAS,206.02,191.45,14.57
BIO,321.93,312.76,9.17
UDR,46.55,42.1,4.45
CTLT,59.69,59.43,0.26
WEC,95.01,89.91,5.1
UBER,68.09,68.84,-0.75
AME,166.89,162.29,4.6
IT,505.67,480.34,25.33
DD,80.41,79.29,1.12
ACN,349.89,322.52,27.37
VRSN,179.97,175.78,4.19
EW,68.13,66.32,1.81
CMG,56.35,52.14,4.21
AWK,147.13,140.89,6.24
COO,108.86,93.13,15.73
SHW,373.97,351.54,22.43
HPQ,33.1,33.41,-0.31
AMAT,183.21,178.31,4.9
CCL,16.92,14.99,1.93
MLM,515.33,507.94,7.39
AVY,218.47,210.24,8.23
EVRG,60.36,58.11,2.25
EA,144.75,144.52,0.23
DE,387.0,354.87,32.13
VLTO,109.3,108.52,0.78
SPG,163.74,157.13,6.61
AMD,150.77,136.71,14.06
KLAC,733.28,716.14,17.14
NDAQ,72.57,69.38,3.19
URI,712.63,687.56,25.07
RTX,120.1,117.5,2.6
NXPI,225.14,228.4,-3.26
PNC,177.6,169.89,7.71
KMX,76.28,76.26,0.02
MTCH,34.99,34.49,0.5
BIIB,197.89,198.71,-0.82
NVDA,119.14,105.65,13.49
CHRW,99.46,98.42,1.04
ROP,551.31,528.37,22.94
IDXX,497.04,471.81,25.23
EXC,39.86,37.32,2.54
HES,127.64,127.5,0.14
HD,374.43,352.64,21.79
ALB,88.5,75.0,13.5
VLO,134.12,134.62,-0.5
AON,348.26,329.95,18.31
ZTS,190.71,181.98,8.73
FDX,286.0,284.61,1.39
DG,83.21,84.88,-1.67
TYL,583.17,574.03,9.14
HIG,115.17,108.85,6.32
CMS,69.31,66.31,3.0
CAG,31.75,30.44,1.31
INCY,63.36,61.7,1.66
SCHW,61.74,61.91,-0.17
HSIC,68.17,67.56,0.61
AZO,3104.76,3104.58,0.18
AXP,255.15,241.06,14.09
HPE,16.86,16.43,0.43
DFS,129.26,127.83,1.43
HRL,31.62,31.22,0.4
SO,88.49,86.13,2.36
FRT,116.26,112.4,3.86
ZBH,105.14,105.42,-0.28
CME,217.3,206.79,10.51
XOM,111.23,110.65,0.58
AMP,435.38,412.45,22.93
CVX,139.21,138.94,0.27
CMCSA,39.31,38.84,0.47
PCG,19.67,18.55,1.12
PNW,89.22,86.08,3.14
ICE,161.14,155.45,5.69
BEN,19.67,19.39,0.28
UHS,231.36,222.3,9.06
BKR,33.29,33.18,0.11
EMN,99.62,96.31,3.31
SBAC,239.85,217.55,22.3
ROK,258.0,257.31,0.69
PTC,170.94,166.19,4.75
NRG,79.8,77.33,2.47
NSC,254.59,239.28,15.31
NKE,78.4,78.82,-0.42
FIS,84.25,78.71,5.54
FANG,170.86,171.38,-0.52
VTR,65.0,58.77,6.23
MAS,78.92,74.87,4.05
RF,21.93,21.14,0.79
ETSY,51.74,51.91,-0.17
AMCR,10.88,10.54,0.34
TAP,54.31,52.84,1.47
MAR,230.7,218.24,12.46
XYL,131.01,127.78,3.23
CMI,297.25,293.85,3.4
MTD,1373.4,1379.97,-6.57
CPAY,305.81,287.27,18.54
KR,55.2,52.04,3.16
PLD,130.29,123.68,6.61
IBM,211.61,193.19,18.42
USB,43.85,42.83,1.02
BSX,83.83,76.68,7.15
LKQ,39.69,39.23,0.46
LIN,467.34,452.58,14.76
ITW,248.2,240.14,8.06
EOG,118.22,119.11,-0.89
KMB,142.38,139.43,2.95
SPGI,520.01,492.75,27.26
NEM,52.88,49.46,3.42
LULU,260.14,243.46,16.68
WFC,51.57,52.24,-0.67
CTVA,55.7,52.29,3.41
EL,84.2,85.37,-1.17
GS,474.06,471.42,2.64
GD,300.67,291.43,9.24
CNP,27.59,25.99,1.6
PM,124.65,118.23,6.42
MCO,478.75,466.79,11.96
CLX,164.97,145.91,19.06
CAH,112.39,103.77,8.62
PANW,345.16,337.03,8.13
MPWR,895.91,820.46,75.45
DGX,154.76,150.42,4.34
AVB,231.7,213.6,18.1
DIS,89.3,86.22,3.08
SW,44.59,41.06,3.53
CBRE,117.48,111.08,6.4
GE,169.7,162.57,7.13
HII,258.28,261.09,-2.81
LDOS,154.09,146.19,7.9
ALL,186.1,173.68,12.42
ETN,303.38,287.26,16.12
ALGN,228.86,221.9,6.96
NFLX,686.8,653.36,33.44
LEN,181.38,170.59,10.79
FITB,41.17,39.75,1.42
WST,297.48,294.46,3.02
GWW,996.93,944.26,52.67
TRGP,146.72,137.93,8.79
NTRS,87.45,84.38,3.07
FICO,1862.08,1705.78,156.3
AXON,384.51,357.75,26.76
CVS,57.53,56.16,1.37
AOS,79.4,77.59,1.81
FE,44.06,42.51,1.55
JPM,206.6,207.81,-1.21
ABT,116.83,109.12,7.71
OMC,98.55,95.01,3.54
COF,137.54,135.31,2.23
TSCO,279.49,261.93,17.56
PH,587.55,574.2,13.35
HST,17.2,16.25,0.95
JBHT,168.86,164.89,3.97
MRNA,69.68,71.56,-1.88
TSLA,229.81,204.18,25.63
MOH,352.94,327.29,25.65
ATO,134.77,129.4,5.37
COP,102.9,103.73,-0.83
DHR,272.49,265.34,7.15
CNC,74.82,71.77,3.05
MCK,511.17,510.2,0.97
TXT,86.95,86.27,0.68
MTB,165.68,161.37,4.31
FDS,439.88,405.27,34.61
VTRS,11.75,11.22,0.53
AKAM,97.3,95.44,1.86
ROL,50.15,48.48,1.67
RMD,250.71,223.52,27.19
WRB,57.78,56.96,0.82
GOOGL,154.69,150.51,4.18
BRO,102.17,100.53,1.64
ANET,355.36,318.56,36.8
PAYX,134.19,126.01,8.18
DRI,158.51,142.6,15.91
META,525.6,503.96,21.64
AAL,10.88,9.89,0.99
COR,237.65,234.54,3.11
MAA,164.44,153.93,10.51
MMC,230.03,218.9,11.13
FOXA,38.91,39.15,-0.24
POOL,346.49,341.85,4.64
CZR,36.53,35.14,1.39
FFIV,205.95,192.85,13.1
CRWD,257.1,249.65,7.45
CINF,135.12,129.42,5.7
VMC,236.27,234.14,2.13
MKTX,256.41,233.84,22.57
SRE,81.7,79.0,2.7
LHX,228.17,227.13,1.04
ORLY,1119.93,1115.24,4.69
IVZ,15.86,15.86,-0.0
RCL,165.57,154.28,11.29
SNPS,488.95,474.17,14.78
GOOG,155.54,151.46,4.08
EPAM,202.3,196.47,5.83
NDSN,248.24,238.71,9.53
YUM,133.41,133.37,0.04
EQT,32.86,31.41,1.45
LYV,97.27,92.45,4.82
PFE,29.16,28.44,0.72
AVGO,164.56,140.1,24.46
DUK,115.97,112.39,3.58
REGN,1164.46,1138.49,25.97
CL,106.34,101.43,4.91
VZ,43.86,40.42,3.44
JCI,71.22,68.32,2.9
DAY,58.76,53.6,5.16
FSLR,235.95,208.81,27.14
AMGN,330.06,321.86,8.2
TEL,144.12,144.44,-0.32
JBL,103.8,101.87,1.93
VST,80.47,74.93,5.54
JKHY,175.54,164.97,10.57
ADP,278.4,263.66,14.74
ON,69.33,69.04,0.29
STT,82.58,79.62,2.96
RSG,205.24,201.17,4.07
IFF,103.44,97.32,6.12
CARR,75.37,66.44,8.93
TRMB,55.68,53.08,2.6
QCOM,164.98,159.98,5.0
LYB,93.86,93.87,-0.01
GIS,73.01,69.39,3.62
PHM,135.3,123.2,12.1
ROST,152.68,142.72,9.96
LUV,28.87,25.82,3.05
LW,63.87,59.58,4.29
MS,96.64,97.29,-0.65
CPB,49.78,49.03,0.75
OKE,90.5,86.4,4.1
BK,69.02,64.1,4.92
J,142.5,142.81,-0.31
SYF,46.41,46.23,0.18
CHD,103.55,100.61,2.94
HWM,94.23,92.0,2.23
MHK,150.08,145.4,4.68
TFC,41.63,41.91,-0.28
DAL,44.27,39.23,5.04
APA,23.7,24.21,-0.51
K,80.26,75.11,5.15
AFL,107.97,102.61,5.36
CSX,33.45,33.38,0.07
NI,33.63,31.84,1.79
CPT,123.1,120.11,2.99
PFG,80.24,75.85,4.39
NCLH,19.03,15.89,3.14
RJF,116.98,112.57,4.41
HBAN,14.2,13.63,0.57
UNH,588.42,577.24,11.18
PRU,115.84,110.7,5.14
GPC,136.21,135.24,0.97
WTW,289.64,276.67,12.97
WMB,45.09,43.37,1.72
EQR,77.38,71.77,5.61
DVA,157.64,147.02,10.62
AIG,73.18,72.17,1.01
MA,492.11,462.39,29.72
HON,204.67,197.84,6.83
VICI,33.57,31.69,1.88
O,62.41,60.03,2.38
NWSA,25.96,26.19,-0.23
TTWO,153.61,146.56,7.05
AES,18.12,16.38,1.74
SLB,39.8,40.18,-0.38
DOC,22.41,21.59,0.82
TT,359.67,341.65,18.02
TGT,148.44,138.12,10.32
AAPL,222.77,221.08,1.69
MKC,83.17,77.51,5.66
OTIS,92.72,91.8,0.92
CEG,189.93,175.46,14.47
TDY,427.59,410.94,16.65
WY,31.41,30.07,1.34
APD,280.02,269.84,10.18
GRMN,182.76,171.02,11.74
AEE,83.5,81.64,1.86
BX,146.5,134.14,12.36
HLT,216.13,206.61,9.52
DLTR,67.89,67.29,0.6
STE,246.48,232.03,14.45
HAS,67.31,64.51,2.8
TMUS,202.41,194.11,8.3
WMT,79.66,69.14,10.52
NTAP,116.46,116.14,0.32
KIM,23.65,22.04,1.61
BAX,39.38,35.01,4.37
LMT,568.27,556.04,12.23
KKR,120.36,116.63,3.73
KEY,16.1,15.79,0.31
KEYS,148.42,130.33,18.09
BMY,48.24,47.9,0.34
PSA,359.12,320.36,38.76
WYNN,76.26,74.37,1.89
EFX,297.77,293.54,4.23
NUE,140.6,139.18,1.42
PKG,208.42,195.86,12.56
GDDY,152.61,152.03,0.58
WAB,167.73,157.55,10.18
CTSH,76.31,74.62,1.69
GEV,215.27,183.21,32.06
SWK,97.83,96.1,1.73
CRL,194.32,189.82,4.5
MU,87.21,88.66,-1.45
TRV,234.11,213.9,20.21
L,78.07,77.53,0.54
AEP,102.99,97.25,5.74
CI,362.17,335.85,26.32
DOW,50.26,50.64,-0.38
CDW,218.64,213.61,5.03
BALL,65.63,62.56,3.07
JNJ,164.64,159.28,5.36
WM,207.86,204.85,3.01
DOV,186.68,176.24,10.44
CRM,253.37,246.01,7.36
PGR,249.48,225.49,23.99
WAT,322.08,324.53,-2.45
IEX,198.11,194.61,3.5
BWA,31.98,31.81,0.17
LRCX,747.78,747.63,0.15
BLK,885.12,859.31,25.81
PPL,31.96,31.07,0.89
